,qc,fs,u2,GGM,$q_c$,$f_s$,$u_2$
std,,,,0.0,0.07837885763456719,0.04024502983991691,0.017020057919210307
min,,,,18.0,0.018898050467746962,0.07239669421487603,0.0164315301958027
25%,,,,18.0,0.09438292457018364,0.09827197595792636,0.02700885009858918
50%,,,,18.0,0.13811202091915778,0.1117655897821187,0.03547682007856564
75%,,,,18.0,0.18912407299124578,0.1326220886551465,0.048912461978203384
max,,,,18.0,0.4684620139846688,0.3440721262208865,0.11164269446524923
count,,,,10650.0,10650.0,10650.0,10650.0
mean,,,,23.0,0.30232734222740315,0.23872065128058606,0.036644742889878276
std,,,,0.0,0.08278544960957544,0.05947821335620867,0.02417884720194175
min,,,,23.0,0.08885624142336135,0.12396694214876033,0.017195787414212127
25%,,,,23.0,0.24970850753768495,0.19158527422990232,0.02356969261574675
50%,,,,23.0,0.3067525195890601,0.22389181066867017,0.02508292190819742
75%,,,,23.0,0.3518998757367459,0.2841472577009767,0.03310762270149641
max,,,,23.0,0.45484393218278896,0.3920661157024793,0.0972440884704156
